Level,Actor21,Actor23,Actor3,Actor6
1,0,0,0,0
2,3,3,6,6
3,6,6,15,15
4,9,9,28,28
5,12,12,45,45
6,17,17,70,70
7,22,22,100,100
8,27,27,130,130
9,32,32,170,170
10,37,37,210,210
11,45,45,270,270
12,53,53,350,350
13,61,61,450,450
14,69,69,550,550
15,77,77,700,700
16,89,89,850,850
17,101,101,1100,1100
18,112,113,1400,1400
19,125,125,1800,1800
20,137,137,2400,2400
21,153,153,9999,9999
22,,,9999,9999
23,,,9999,9999
24,,,9999,9999
25,,,9999,9999
26,,,9999,9999
27,,,9999,9999
28,,,9999,9999
29,,,9999,9999
30,,,9999,9999
31,,,9999,9999
32,,,9999,9999
33,,,9999,9999
34,,,9999,9999
35,,,9999,9999
36,,,9999,9999
37,,,9999,9999
38,,,9999,9999
39,,,9999,9999
40,,,9999,9999
41,,,9999,9999
42,,,9999,9999
43,,,9999,9999
44,,,9999,9999
45,,,9999,9999
46,,,9999,9999
47,,,9999,9999
48,,,9999,9999
49,,,9999,9999
50,,,9999,9999
51,,,9999,9999
52,,,9999,9999
53,,,9999,9999
54,,,9999,9999
55,,,9999,9999
56,,,9999,9999
57,,,9999,9999
58,,,9999,9999
59,,,9999,9999
60,,,9999,9999
61,,,9999,9999
62,,,9999,9999
63,,,9999,9999
64,,,9999,9999
65,,,9999,9999
66,,,9999,9999
67,,,9999,9999
68,,,9999,9999
69,,,9999,9999
70,,,9999,9999
71,,,9999,9999
72,,,9999,9999
73,,,9999,9999
74,,,9999,9999
75,,,9999,9999
76,,,9999,9999
77,,,9999,9999
78,,,9999,9999
79,,,9999,9999
80,,,9999,9999
81,,,9999,9999
82,,,9999,9999
83,,,9999,9999
84,,,9999,9999
85,,,9999,9999
86,,,9999,9999
87,,,9999,9999
88,,,9999,9999
89,,,9999,9999
90,,,9999,9999
91,,,9999,9999
92,,,9999,9999
93,,,9999,9999
94,,,9999,9999
95,,,9999,9999
96,,,9999,9999
97,,,9999,9999
98,,,9999,9999
99,9999,9999,9999,9999
