Level,Actor21,Actor23,Actor3,Actor6
1,0,0,0,0
2,3,3,6,6
3,6,6,15,15
4,9,9,28,28
5,12,12,45,45
6,17,17,70,70
7,22,22,100,100
8,27,27,130,130
9,32,32,170,170
10,37,37,210,210
11,45,45,270,270
12,53,53,350,350
13,61,61,450,450
14,69,69,550,550
15,77,77,700,700
16,89,89,850,850
17,101,101,1100,1100
18,112,113,1400,1400
19,125,125,1800,1800
20,137,137,2400,2400
21,153,153,9999,9999
22,169,169,9999,9999
23,185,185,9999,9999
24,201,201,9999,9999
25,217,217,9999,9999
26,237,237,9999,9999
27,257,257,9999,9999
28,277,277,9999,9999
29,297,297,9999,9999
30,317,317,9999,9999
31,342,342,9999,9999
32,367,367,9999,9999
33,392,392,9999,9999
34,417,417,9999,9999
35,442,442,9999,9999
36,474,474,9999,9999
37,506,506,9999,9999
38,538,538,9999,9999
39,570,570,9999,9999
40,610,610,9999,9999
41,650,650,9999,9999
42,690,690,9999,9999
43,730,730,9999,9999
44,770,770,9999,9999
45,810,810,9999,9999
46,860,860,9999,9999
47,910,910,9999,9999
48,960,960,9999,9999
49,1010,1010,9999,9999
50,1060,1060,9999,9999
51,1110,1110,9999,9999
52,1160,1160,9999,9999
53,1210,1210,9999,9999
54,1260,1260,9999,9999
55,1310,1310,9999,9999
56,1360,1360,9999,9999
57,1410,1410,9999,9999
58,1460,1460,9999,9999
59,1510,1510,9999,9999
60,1560,1560,9999,9999
61,1620,1620,9999,9999
62,1680,1680,9999,9999
63,1740,1740,9999,9999
64,1800,1800,9999,9999
65,1860,1860,9999,9999
66,1920,1920,9999,9999
67,1980,1980,9999,9999
68,2040,2040,9999,9999
69,2100,2100,9999,9999
70,2160,2160,9999,9999
71,2230,2230,9999,9999
72,2300,2300,9999,9999
73,2370,2370,9999,9999
74,2440,2440,9999,9999
75,2510,2510,9999,9999
76,2580,2580,9999,9999
77,2650,2650,9999,9999
78,2720,2720,9999,9999
79,2790,2790,9999,9999
80,2860,2860,9999,9999
81,2940,2940,9999,9999
82,3020,3020,9999,9999
83,3100,3100,9999,9999
84,3180,3180,9999,9999
85,3260,3260,9999,9999
86,3340,3340,9999,9999
87,3420,3420,9999,9999
88,3500,3500,9999,9999
89,3580,3580,9999,9999
90,3660,3660,9999,9999
91,3760,3760,9999,9999
92,3860,3860,9999,9999
93,3960,3960,9999,9999
94,4060,4060,9999,9999
95,4160,4160,9999,9999
96,4260,4260,9999,9999
97,4360,4360,9999,9999
98,4460,4460,9999,9999
99,5000,5000,9999,9999
100,9999,9999,9999,9999
