Level,Actor1,Actor2,Actor3,Actor6
1,0,0,0,0
2,6,6,6,6
3,15,15,15,15
4,28,28,28,28
5,45,45,45,45
6,70,70,70,70
7,100,100,100,100
8,130,130,130,130
9,170,170,170,170
10,210,210,210,210
11,270,270,270,270
12,350,350,350,350
13,450,450,450,450
14,550,550,550,550
15,700,700,700,700
16,850,850,850,850
17,1100,1100,1100,1100
18,1400,1400,1400,1400
19,1800,1800,1800,1800
20,2400,2400,2400,2400
21,2625,2625,2625,2625
22,2750,2750,2750,2750
23,2875,2875,2875,2875
24,3000,3000,3000,3000
25,3125,3125,3125,3125
26,3250,3250,3250,3250
27,3375,3375,3375,3375
28,3500,3500,3500,3500
29,3625,3625,3625,3625
30,3750,3750,3750,3750
31,3875,3875,3875,3875
32,4000,4000,4000,4000
33,4125,4125,4125,4125
